,struct_typ,occ_type,year_built,no_stories,magnitude,distance,meandamage
6180,URM,RES1,1972,1,5,3.039419941,0.18724
6181,URM,RES1,19761109,1,5,3.039803613,0.19344
6182,W1,RES1,1944,1,5,3.026604094,0.14944
6183,URM,RES1,19961011,1,5,3.023968439,0.23188
6184,URM,RES1,20020816,1,5,3.022488425,0.24656
6185,W1,RES1,1908,1,5,3.122546383,0.12423
6186,S1,RES1,19970308,1,5,3.113133359,0.12379
6187,S1,RES1,20000720,1,5,3.064039535,0.1269
6188,S1,RES1,20070220,1,5,3.069039519,0.13456
6189,S1,RES1,20100507,1,5,3.059629619,0.13423
6190,S1,RES1,20070208,2,5,3.069570303,0.11229
6191,URM,RES1,1944,1,5,3.054817603,0.15289
6192,URM,AGR1,1958,1,5,3.024264424,0.16838
6193,W1,RES1,1944,1,5,3.042951674,0.14941
6194,S1,COM2,20001012,1,5,2.854214114,0.12723
6195,URM,RES1,1944,1,5,2.811635459,0.15336
6196,URM,RES1,1944,1,5,2.806649487,0.15337
6197,URM,RES1,19990720,1,5,2.832060267,0.23957
6198,URM,RES1,1974,1,5,2.83300257,0.19079
6199,W1,RES1,1935,1,5,2.735213307,0.14279
6200,URM,RES1,1957,1,5,2.84327044,0.16756
6201,URM,RES1,1934,1,5,2.965090492,0.14367
6202,S1,RES1,1993,1,5,2.861479623,0.12036
6203,URM,RES1,1934,1,5,2.852846865,0.14387
6204,URM,RES1,1954,1,5,2.866126528,0.16399
6205,URM,RES1,19961212,1,5,2.857843736,0.23236
6206,URM,RES1,19860910,1,5,2.850412307,0.21141
6207,URM,RES1,19970703,1,5,2.872616762,0.23465
6208,URM,RES1,1959,1,5,2.891816114,0.16989
6209,W1,REL1,1974,2,5,2.883678928,0.17991
6210,URM,RES1,1939,1,5,2.81232672,0.1485
6211,URM,RES1,1944,1,5,2.811871681,0.15336
6212,W1,RES1,1944,1,5,2.832446144,0.14981
6213,URM,RES1,1946,1,5,2.818971934,0.15538
6214,URM,COM2,1974,1,5,2.805762057,0.19085
6215,W1,RES1,1934,1,5,2.842214159,0.14185
6216,W1,RES1,1944,1,5,2.802904695,0.14986
6217,S1,RES1,1956,1,5,2.845351176,0.09366
6218,URM,RES1,1972,1,5,2.93155188,0.1875
6219,W1,RES1,19851224,1,5,2.87534374,0.19431
6220,URM,RES1,1933,1,5,2.814451241,0.14306
6221,URM,RES1,1934,1,5,2.82921984,0.14391
6222,URM,RES1,1934,1,5,2.833650052,0.1439
6224,URM,RES1,1934,1,5,2.814377693,0.14394
6225,W1,RES1,1938,1,5,2.795793949,0.145
6226,S1,COM2,20050714,1,5,3.232083718,0.13199
6227,S1,COM2,20110930,1,5,3.225711772,0.13909
6228,W1,RES1,20101025,1,5,3.327167928,0.23599
6230,S1,COM1,20111227,1,5,3.33046126,0.13889
6231,URM,RES1,1992,1,5,3.357438957,0.22202
6232,W1,RES1,1975,1,5,3.367582079,0.17997
6234,URM,RES1,19940604,1,5,3.252340264,0.22667
6235,W1,RES1,1926,1,5,3.257523993,0.13535
6236,S1,AGR1,19961216,1,5,3.282019211,0.12253
6237,URM,RES1,20011214,1,5,3.301884993,0.24307
6238,URM,RES1,1944,1,5,2.787497374,0.15341
6239,URM,RES1,1944,1,5,2.788858792,0.1534
6240,URM,RES1,1949,1,5,2.787312593,0.1586
6241,S1,COM2,19970903,1,5,3.243123239,0.12357
6242,S1,COM2,20050416,1,5,3.238088882,0.13198
6243,W1,RES1,1946,1,5,3.239763156,0.1507
6244,W1,RES1,1929,1,5,3.259145982,0.13744
6245,S1,AGR1,19961216,1,5,3.294652394,0.12251
6246,URM,RES1,19980527,1,5,3.281010592,0.23576
6247,URM,COM1,19960420,1,5,3.311999426,0.23098
6248,S1,RES1,20061108,1,5,3.275813242,0.13304
6249,S1,AGR1,19990501,1,5,3.266697898,0.12553
6250,URM,RES1,1944,1,5,2.949217249,0.1531
6251,URM,RES1,19980909,1,5,2.954967481,0.23678
6252,URM,RES1,19980909,1,5,2.949738295,0.2368
6253,URM,RES1,19971006,1,5,2.957749922,0.2344
6254,C4,EDU1,20101206,4,5,2.990153821,0.22919
6255,W1,RES1,20150108,2,5,2.973472514,0.24812
6256,URM,RES1,1944,1,5,2.995532661,0.15301
